"","TIME","Value","UNIT"
"1",2004,102160000,"Tonne"
"2",2006,100850000,"Tonne"
"3",2008,95580000,"Tonne"
"4",2010,75830000,"Tonne"
"5",2012,73790000,"Tonne"
"6",2014,75430000,"Tonne"
"7",2016,81300000,"Tonne"
