Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1996","1996","Head","25582336","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1997","1997","Head","26836160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1998","1998","Head","27238217","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1999","1999","Head","27964374","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2000","2000","Head","28249003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2001","2001","Head","28173274","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2002","2002","Head","28733119","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2003","2003","Head","28445191","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2004","2004","Head","29178683","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2005","2005","Head","29787554","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2006","2006","Head","30684815","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2007","2007","Head","31605341","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2008","2008","Head","32112941","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2009","2009","Head","32661150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2010","2010","Head","33359682","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2011","2011","Head","33787946","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2012","2012","Head","34504312","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2013","2013","Head","34940851","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","919","Hides, cattle, fresh","1961","1961","Head","181325542","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","919","Hides, cattle, fresh","1962","1962","Head","192850681","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","919","Hides, cattle, fresh","1963","1963","Head","202710011","A","Aggregate, may include official, semi-official, estimated or calculated data"
